,stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,stop_id_,composite_gtfs_stops_id
0,101,Van Cortlandt Park-242 St,40.889248,-73.898583,1.0,101,101,101
1,101N,Van Cortlandt Park-242 St,40.889248,-73.898583,,101,101,101
2,101S,Van Cortlandt Park-242 St,40.889248,-73.898583,,101,101,101
3,103,238 St,40.884667,-73.90087,1.0,103,103,103
4,103N,238 St,40.884667,-73.90087,,103,103,103
5,103S,238 St,40.884667,-73.90087,,103,103,103
6,104,231 St,40.878856,-73.904834,1.0,104,104,104
7,104N,231 St,40.878856,-73.904834,,104,104,104
8,104S,231 St,40.878856,-73.904834,,104,104,104
9,106,Marble Hill-225 St,40.874561,-73.909831,1.0,106,106,106
10,106N,Marble Hill-225 St,40.874561,-73.909831,,106,106,106
11,106S,Marble Hill-225 St,40.874561,-73.909831,,106,106,106
12,107,215 St,40.869444,-73.915279,1.0,107,107,107
13,107N,215 St,40.869444,-73.915279,,107,107,107
14,107S,215 St,40.869444,-73.915279,,107,107,107
15,108,207 St,40.864621,-73.918822,1.0,108,108,108
16,108N,207 St,40.864621,-73.918822,,108,108,108
17,108S,207 St,40.864621,-73.918822,,108,108,108
18,109,Dyckman St,40.860531,-73.925536,1.0,109,109,109
19,109N,Dyckman St,40.860531,-73.925536,,109,109,109
20,109S,Dyckman St,40.860531,-73.925536,,109,109,109
21,110,191 St,40.855225,-73.929412,1.0,110,110,110
22,110N,191 St,40.855225,-73.929412,,110,110,110
23,110S,191 St,40.855225,-73.929412,,110,110,110
24,111,181 St,40.849505,-73.933596,1.0,111,111,111
25,111N,181 St,40.849505,-73.933596,,111,111,111
26,111S,181 St,40.849505,-73.933596,,111,111,111
27,112,168 St-Washington Hts,40.840556,-73.940133,1.0,112,112,112_A09
28,112N,168 St-Washington Hts,40.840556,-73.940133,,112,112,112_A09
29,112S,168 St-Washington Hts,40.840556,-73.940133,,112,112,112_A09
30,113,157 St,40.834041,-73.94489,1.0,113,113,113
31,113N,157 St,40.834041,-73.94489,,113,113,113
32,113S,157 St,40.834041,-73.94489,,113,113,113
33,114,145 St,40.826551,-73.95036,1.0,114,114,114
34,114N,145 St,40.826551,-73.95036,,114,114,114
35,114S,145 St,40.826551,-73.95036,,114,114,114
36,115,137 St-City College,40.822008,-73.953676,1.0,115,115,115
37,115N,137 St-City College,40.822008,-73.953676,,115,115,115
38,115S,137 St-City College,40.822008,-73.953676,,115,115,115
39,116,125 St,40.815581,-73.958372,1.0,116,116,116
40,116N,125 St,40.815581,-73.958372,,116,116,116
41,116S,125 St,40.815581,-73.958372,,116,116,116
42,117,116 St-Columbia University,40.807722,-73.96411,1.0,117,117,117
43,117N,116 St-Columbia University,40.807722,-73.96411,,117,117,117
44,117S,116 St-Columbia University,40.807722,-73.96411,,117,117,117
45,118,Cathedral Pkwy (110 St),40.803967,-73.966847,1.0,118,118,118
46,118N,Cathedral Pkwy (110 St),40.803967,-73.966847,,118,118,118
47,118S,Cathedral Pkwy (110 St),40.803967,-73.966847,,118,118,118
48,119,103 St,40.799446,-73.968379,1.0,119,119,119
49,119N,103 St,40.799446,-73.968379,,119,119,119
50,119S,103 St,40.799446,-73.968379,,119,119,119
51,120,96 St,40.793919,-73.972323,1.0,120,120,120
52,120N,96 St,40.793919,-73.972323,,120,120,120
53,120S,96 St,40.793919,-73.972323,,120,120,120
54,121,86 St,40.788644,-73.976218,1.0,121,121,121
55,121N,86 St,40.788644,-73.976218,,121,121,121
56,121S,86 St,40.788644,-73.976218,,121,121,121
57,122,79 St,40.783934,-73.979917,1.0,122,122,122
58,122N,79 St,40.783934,-73.979917,,122,122,122
59,122S,79 St,40.783934,-73.979917,,122,122,122
60,123,72 St,40.778453,-73.98197,1.0,123,123,123
61,123N,72 St,40.778453,-73.98197,,123,123,123
62,123S,72 St,40.778453,-73.98197,,123,123,123
63,124,66 St-Lincoln Center,40.77344,-73.982209,1.0,124,124,124
64,124N,66 St-Lincoln Center,40.77344,-73.982209,,124,124,124
65,124S,66 St-Lincoln Center,40.77344,-73.982209,,124,124,124
66,125,59 St-Columbus Circle,40.768247,-73.981929,1.0,125,125,125_A24
67,125N,59 St-Columbus Circle,40.768247,-73.981929,,125,125,125_A24
68,125S,59 St-Columbus Circle,40.768247,-73.981929,,125,125,125_A24
69,126,50 St,40.761728,-73.983849,1.0,126,126,126
70,126N,50 St,40.761728,-73.983849,,126,126,126
71,126S,50 St,40.761728,-73.983849,,126,126,126
72,127,Times Sq-42 St,40.75529,-73.987495,1.0,127,127,127_725_902_A27_R16
73,127N,Times Sq-42 St,40.75529,-73.987495,,127,127,127_725_902_A27_R16
74,127S,Times Sq-42 St,40.75529,-73.987495,,127,127,127_725_902_A27_R16
75,128,34 St-Penn Station,40.750373,-73.991057,1.0,128,128,128
76,128N,34 St-Penn Station,40.750373,-73.991057,,128,128,128
77,128S,34 St-Penn Station,40.750373,-73.991057,,128,128,128
78,129,28 St,40.747215,-73.993365,1.0,129,129,129
