composite_gtfs_stops_id,next_composite_gtfs_stops_id,route,direction,mean_seconds_in_transit
101,103,1,S,100.76555023923444
103,101,1,N,83.81165919282512
103,104,1,S,90.0
104,103,1,N,196.14349775784754
104,106,1,S,90.0
106,104,1,N,92.5560538116592
106,107,1,S,90.0
107,106,1,N,90.0
107,108,1,S,60.0
108,107,1,N,89.47136563876651
108,109,1,S,101.2
109,108,1,N,90.0
109,110,1,S,90.0
110,109,1,N,69.2511013215859
110,111,1,S,90.0
111,110,1,N,90.0
111,112_A09,1,S,130.66666666666666
112_A09,111,1,N,120.0
112_A09,113,1,S,92.8
112_A09,A07,A,N,121.97604790419162
112_A09,A10,A,S,90.0
112_A09,A10,C,S,61.351351351351354
112_A09,A12_D13,A,S,215.41666666666666
113,112_A09,1,N,90.0
113,114,1,S,122.8
114,113,1,N,120.0
114,115,1,S,104.8
115,114,1,N,90.0
115,116,1,S,90.0
116,115,1,N,97.14285714285714
116,117,1,S,144.28571428571428
117,116,1,N,142.85714285714286
117,118,1,S,60.0
118,117,1,N,60.0
118,119,1,S,60.0
119,118,1,N,67.14285714285714
119,120,1,S,120.3896103896104
120,119,1,N,90.0
120,121,1,S,114.28571428571429
120,121,2,S,120.0
120,123,2,S,175.06849315068493
120,123,3,S,206.05263157894737
120,227,3,N,286.95652173913044
120,239_S04,2,N,84125.0
120,239_S04,3,N,84186.04651162791
120,247,2,N,83341.53846153847
121,120,1,N,110.51948051948052
121,120,2,N,90.0
121,122,1,S,65.71428571428571
121,122,2,S,60.0
122,121,1,N,72.33766233766234
122,121,2,N,90.0
122,123,1,S,90.0
122,123,2,S,90.0
123,120,2,N,180.0
123,120,3,N,180.0
123,122,1,N,107.66233766233766
123,122,2,N,90.0
123,124,1,S,84.28571428571429
123,124,2,S,90.0
123,127_725_902_A27_R16,2,S,253.97260273972603
123,127_725_902_A27_R16,3,S,252.82894736842104
124,123,1,N,62.857142857142854
124,123,2,N,60.0
124,125_A24,1,S,90.0
124,125_A24,2,S,90.0
125_A24,124,1,N,90.0
125_A24,124,2,N,90.0
125_A24,126,1,S,120.0
125_A24,126,2,S,120.0
125_A24,127_725_902_A27_R16,A,S,174.375
125_A24,A12_D13,B,S,85465.71428571429
