trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1724904000_7..S,024000_7..S,7,1,1724904000,07 0400 MST/34H,1724920509,1724920521,866,0,0
1724904000_GS.N01R,024000_GS.N01R,GS,0,1724904000,0S 0400  GCS/TSS,1724918439,1724918451,310,0,0
1724904120_5..S32R,024200_5..S32R,5,1,1724904120,05 0402  DYR/180,1724919144,1724919156,498,0,0
1724904180_2..N33X001,024300_2..N33X001,2,0,1724904180,02 0403  3RD/241,1724920554,1724920566,874,0,0
1724904180_5..N32R,024300_5..N32R,5,0,1724904180,05 0403  180/DYR,1724919204,1724919216,514,0,0
1724904210_GS.S01R,024350_GS.S01R,GS,1,1724904210,0S 0403+ TSS/GCS,1724918661,1724918664,368,0,0
1724904300_7..N,024500_7..N,7,0,1724904300,=7 0410+ G-C/MST,1724919024,1724919036,428,0,0
1724904330_1..S03R,024550_1..S03R,1,1,1724904330,01 0405+ 242/SFT,1724922087,1724922096,1254,0,0
1724904420_4..N13R,024700_4..N13R,4,0,1724904420,04 0407  NLT/WDL,1724924067,1724924076,1795,0,0
1724904570_4..S13R,024950_4..S13R,4,1,1724904570,04 0409+ WDL/NLT,1724924421,1724924427,1815,0,0
1724904600_GS.N01R,025000_GS.N01R,GS,0,1724904600,0S 0410  GCS/TSS,1724919069,1724919081,398,0,0
1724904630_2..S08X165,025050_2..S08X165,2,1,1724904630,02 0410+ 148/FLA,1724923401,1724923407,1544,0,0
1724904750_6..N01R,025250_6..N01R,6,0,1724904750,06 0412+ BBR/PEL,1724923161,1724923167,1480,0,0
1724904810_2..N08R,025350_2..N08R,2,0,1724904810,02 0413+ FLA/241,1724925276,1724925285,2041,0,0
1724904810_GS.S01R,025350_GS.S01R,GS,1,1724904810,0S 0413+ TSS/GCS,1724919264,1724919276,450,0,0
1724904840_2..S33X001,025400_2..S33X001,2,1,1724904840,02 0414  241/3RD,1724921229,1724921241,934,0,0
1724904870_1..N03R,025450_1..N03R,1,0,1724904870,01 0414+ SFT/242,1724922747,1724922756,1330,0,0
1724904900_6..S01R,025500_6..S01R,6,1,1724904900,06 0415  PEL/BBR,1724923152,1724923161,1438,0,0
1724905200_7..S,026000_7..S,7,1,1724905200,07 0420 MST/34H,1724921697,1724921706,1010,0,0
1724905200_GS.N01R,026000_GS.N01R,GS,0,1724905200,0S 0420  GCS/TSS,1724919669,1724919681,478,0,0
1724905290_4..S13R,026150_4..S13R,4,1,1724905290,04 0421+ WDL/NLT,1724925036,1724925042,1897,0,0
1724905320_5..S32R,026200_5..S32R,5,1,1724905320,05 0422  DYR/180,1724920419,1724920431,678,0,0
1724905380_2..N33X001,026300_2..N33X001,2,0,1724905380,02 0423  3RD/241,1724921817,1724921826,1042,0,0
